FZS09 Emission Map

Labels,Ex=300.00nm,Ex=400.00nm,Ex=500.00nm,Ex=600.00nm,Ex=700.00nm,Ex=800.00nm,
Type,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,
Comment,,,,,,,
Start,700.00,700.00,700.00,700.00,702.00,802.00,
Stop,950.00,950.00,950.00,950.00,950.00,950.00,
Step,0.500,0.500,0.500,0.500,0.500,0.500,
Fixed/Offset,300.00,400.00,500.00,600.00,700.00,800.00,
Xaxis,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,
Yaxis,Counts,Counts,Counts,Counts,Counts,Counts,
Scan Corr. by File,True,True,True,True,True,True,
Corr. by Ref. Det.,True,True,True,True,True,True,
Fixed/Offset Corr. by File,False,False,False,False,False,False,
Repeats,1,1,1,1,1,1,
Dwell Time,0.10,0.10,0.10,0.10,0.10,0.10,
Lamp,Xenon,Xenon,Xenon,Xenon,Xenon,Xenon,
Temp,0.00,0.00,0.00,0.00,0.00,0.00,
Scan Polariser,None,None,None,None,None,None,
Scan Slit,2.0004635,2.0004635,2.0004635,2.0004635,2.0004635,2.0004635,
Fixed/Offset Polariser,None,None,None,None,None,None,
Fixed/Offset Slit,2.0004635,2.0004635,2.0004635,2.0004635,2.0004635,2.0004635,
Detector,Detector 1,Detector 1,Detector 1,Detector 1,Detector 1,Detector 1,

759.500,1.73830813E+5,3.45219531E+5,4.16851094E+5,4.08471375E+5,3.32004000E+5, ,
760.00,1.78465328E+5,3.62480000E+5,4.31941250E+5,4.26528406E+5,3.38824438E+5, ,
760.500,1.89805766E+5,3.72973281E+5,4.38821313E+5,4.38264250E+5,3.48136969E+5, ,
761.00,1.97097094E+5,3.84928813E+5,4.64868000E+5,4.52667063E+5,3.62743906E+5, ,
761.500,2.05446172E+5,4.02316781E+5,4.82489719E+5,4.75894125E+5,3.75269875E+5, ,
762.00,2.13179625E+5,4.15653188E+5,5.02469594E+5,4.91449281E+5,3.94647438E+5, ,
762.500,2.17768750E+5,4.31055281E+5,5.19427625E+5,5.06667031E+5,4.00038563E+5, ,
763.00,2.27823828E+5,4.52006250E+5,5.43574125E+5,5.26483875E+5,4.24180563E+5, ,
763.500,2.35446156E+5,4.70195094E+5,5.59719750E+5,5.52058750E+5,4.36240344E+5, ,
764.00,2.44346203E+5,4.81826625E+5,5.79030313E+5,5.78536375E+5,4.56168594E+5, ,
764.500,2.56492969E+5,5.06186531E+5,6.07045938E+5,5.99890938E+5,4.75485875E+5, ,
765.00,2.66028844E+5,5.24105250E+5,6.27100188E+5,6.21223188E+5,5.00237000E+5, ,
765.500,2.77581156E+5,5.47997375E+5,6.59166688E+5,6.47929750E+5,5.11346500E+5, ,
766.00,2.86758375E+5,5.62380188E+5,6.77677688E+5,6.67567188E+5,5.32657625E+5, ,
766.500,2.96342406E+5,5.86646063E+5,7.03216313E+5,6.89898875E+5,5.45107563E+5, ,
767.00,3.06172656E+5,6.06637375E+5,7.26105688E+5,7.18380563E+5,5.74219000E+5, ,
767.500,3.14993688E+5,6.33880313E+5,7.56558938E+5,7.49791313E+5,6.01738000E+5, ,
768.00,3.35097500E+5,6.51321625E+5,7.85006625E+5,7.80137125E+5,6.08251313E+5, ,
768.500,3.44609906E+5,6.76730563E+5,8.17679750E+5,8.08183625E+5,6.39420625E+5, ,
769.00,3.53349156E+5,6.96774125E+5,8.45742438E+5,8.35915938E+5,6.53943813E+5, ,
769.500,3.70397625E+5,7.26648063E+5,8.77407438E+5,8.69876000E+5,6.87180938E+5, ,
770.00,3.84164188E+5,7.54773500E+5,9.04331375E+5,8.94907000E+5,7.15948313E+5, ,
770.500,3.98371094E+5,7.80754813E+5,9.40498250E+5,9.33953000E+5,7.38567375E+5, ,
771.00,4.18846781E+5,8.09619438E+5,9.76533313E+5,9.74408625E+5,7.74325313E+5, ,
771.500,4.26699188E+5,8.31385250E+5,1.00731719E+6,9.97551438E+5,7.98825875E+5, ,
772.00,4.42394594E+5,8.62901750E+5,1.05791600E+6,1.04335194E+6,8.26158563E+5, ,
772.500,4.56016563E+5,8.92849313E+5,1.08133963E+6,1.07081938E+6,8.63894063E+5, ,
773.00,4.77452688E+5,9.34820688E+5,1.13186288E+6,1.12666275E+6,8.85232875E+5, ,
773.500,4.97535313E+5,9.61772938E+5,1.17602075E+6,1.15319625E+6,9.15002438E+5, ,
774.00,5.16923906E+5,1.00313844E+6,1.21205713E+6,1.21070750E+6,9.43373688E+5, ,
774.500,5.40102500E+5,1.03853981E+6,1.25602763E+6,1.24075213E+6,9.73777375E+5, ,
775.00,5.61393563E+5,1.08017825E+6,1.30246988E+6,1.28696663E+6,1.01693838E+6, ,
775.500,5.86723438E+5,1.12200438E+6,1.35362850E+6,1.34313613E+6,1.05643688E+6, ,
776.00,5.97647875E+5,1.15866325E+6,1.39622575E+6,1.38755875E+6,1.10011625E+6, ,
776.500,6.26425375E+5,1.20060775E+6,1.45190500E+6,1.43249338E+6,1.13440313E+6, ,
777.00,6.38289000E+5,1.24390325E+6,1.49656800E+6,1.47528550E+6,1.16525888E+6, ,
777.500,6.80524875E+5,1.29259275E+6,1.55086913E+6,1.54417663E+6,1.22768588E+6, ,
778.00,6.99764313E+5,1.31971700E+6,1.60899888E+6,1.59247850E+6,1.25660238E+6, ,
778.500,7.12237500E+5,1.36524413E+6,1.66163875E+6,1.64628963E+6,1.28638150E+6, ,
779.00,7.33269063E+5,1.40876213E+6,1.71261463E+6,1.69193963E+6,1.34038063E+6, ,
779.500,7.53667125E+5,1.46926463E+6,1.77413363E+6,1.75761175E+6,1.40615438E+6, ,
780.00,7.89281813E+5,1.50026075E+6,1.82199513E+6,1.80860200E+6,1.43825500E+6, ,
780.500,8.11407563E+5,1.54469488E+6,1.88536350E+6,1.86259950E+6,1.47074425E+6, ,
781.00,8.32515500E+5,1.60472100E+6,1.94069213E+6,1.93474200E+6,1.51884238E+6, ,
781.500,8.63694188E+5,1.65098488E+6,2.00874550E+6,1.99791438E+6,1.58559800E+6, ,
782.00,8.93742125E+5,1.70096225E+6,2.07560750E+6,2.05882525E+6,1.62000300E+6, ,
782.500,9.18395688E+5,1.75066650E+6,2.12188625E+6,2.10683475E+6,1.66945913E+6, ,
783.00,9.61397063E+5,1.81759663E+6,2.19920150E+6,2.17434200E+6,1.73295613E+6, ,
783.500,9.72233313E+5,1.86386975E+6,2.27793075E+6,2.25107600E+6,1.77521063E+6, ,
784.00,9.98294563E+5,1.92575738E+6,2.33951350E+6,2.29261150E+6,1.82757138E+6, ,
784.500,1.03973875E+6,1.98765975E+6,2.40270100E+6,2.36365100E+6,1.89078375E+6, ,
785.00,1.05992875E+6,2.03325475E+6,2.45973525E+6,2.43398075E+6,1.96225213E+6, ,
785.500,1.09667063E+6,2.08367313E+6,2.51738725E+6,2.50462375E+6,1.98552375E+6, ,
786.00,1.10851138E+6,2.13324225E+6,2.58379775E+6,2.59058450E+6,2.04939750E+6, ,
786.500,1.14811700E+6,2.19069275E+6,2.67759425E+6,2.64413725E+6,2.11723675E+6, ,
787.00,1.16722650E+6,2.25375100E+6,2.74422450E+6,2.71251125E+6,2.16277350E+6, ,
787.500,1.21852900E+6,2.32364200E+6,2.79877425E+6,2.79053500E+6,2.22475025E+6, ,
788.00,1.24589013E+6,2.36690400E+6,2.87189950E+6,2.85276450E+6,2.28632350E+6, ,
788.500,1.27486763E+6,2.42506700E+6,2.95327150E+6,2.92505450E+6,2.33389025E+6, ,
789.00,1.29526625E+6,2.47827225E+6,3.00294800E+6,3.01116075E+6,2.40292550E+6, ,
789.500,1.33957613E+6,2.53955600E+6,3.08272850E+6,3.06776225E+6,2.46089675E+6, ,
790.00,1.36099750E+6,2.58792300E+6,3.16412150E+6,3.14637975E+6,2.47978000E+6, ,
790.500,1.39083050E+6,2.64604275E+6,3.22158625E+6,3.17933500E+6,2.54571400E+6, ,
791.00,1.40876250E+6,2.70667575E+6,3.29385025E+6,3.24236400E+6,2.60886825E+6, ,
791.500,1.48981138E+6,2.75340600E+6,3.34728100E+6,3.31747975E+6,2.67700800E+6, ,
792.00,1.52219738E+6,2.78700650E+6,3.41041700E+6,3.38343875E+6,2.70817075E+6, ,
792.500,1.53801575E+6,2.85199825E+6,3.46096250E+6,3.47306425E+6,2.74733525E+6, ,
793.00,1.56864088E+6,2.89332700E+6,3.52568500E+6,3.50564075E+6,2.80513275E+6, ,
793.500,1.58425625E+6,2.93963125E+6,3.57436850E+6,3.56593300E+6,2.85578250E+6, ,
794.00,1.62588050E+6,2.99111650E+6,3.65382675E+6,3.61934525E+6,2.90146725E+6, ,
794.500,1.64552488E+6,3.02933825E+6,3.71143100E+6,3.67712575E+6,2.93655525E+6, ,
795.00,1.65776588E+6,3.05680025E+6,3.73771300E+6,3.71408975E+6,2.97956575E+6, ,
795.500,1.68104925E+6,3.10825600E+6,3.78919700E+6,3.77145175E+6,3.02372750E+6, ,
796.00,1.69067000E+6,3.12494050E+6,3.84629075E+6,3.80767325E+6,3.05226175E+6, ,
796.500,1.70971563E+6,3.17386900E+6,3.87381200E+6,3.86599050E+6,3.08150600E+6, ,
797.00,1.74085663E+6,3.19997300E+6,3.90480775E+6,3.91000000E+6,3.12015600E+6, ,
797.500,1.75501138E+6,3.22466150E+6,3.94102325E+6,3.93262175E+6,3.14364425E+6, ,
798.00,1.76124375E+6,3.25002050E+6,3.97428450E+6,3.96408150E+6,3.18707425E+6, ,
798.500,1.77399925E+6,3.28439900E+6,3.99965325E+6,3.99430500E+6,3.21781150E+6, ,
799.00,1.78241888E+6,3.29866100E+6,4.02611550E+6,4.02122925E+6,3.24241450E+6, ,
799.500,1.80865400E+6,3.31779475E+6,4.05699250E+6,4.06028250E+6,3.24648125E+6, ,
800.00,1.80496675E+6,3.31964200E+6,4.06570025E+6,4.07162050E+6,3.28426875E+6, ,
800.500,1.80446575E+6,3.33963200E+6,4.07996550E+6,4.11214150E+6,3.28122925E+6, ,
801.00,1.80290375E+6,3.33204125E+6,4.07852050E+6,4.08292150E+6,3.30207700E+6, ,
801.500,1.82338588E+6,3.35161875E+6,4.10983375E+6,4.08657050E+6,3.29792375E+6, ,
802.00,1.81059788E+6,3.33388250E+6,4.11033825E+6,4.11317600E+6,3.27683550E+6,1.01933952E+8,
802.500,1.81799950E+6,3.36504950E+6,4.09420775E+6,4.11048600E+6,3.30226850E+6,6.62575520E+7,
803.00,1.80853588E+6,3.36257475E+6,4.10185125E+6,4.12144700E+6,3.30710725E+6,3.40574640E+7,
803.500,1.80977388E+6,3.34269500E+6,4.09416325E+6,4.12281975E+6,3.29142800E+6,1.04176810E+7,
804.00,1.81754800E+6,3.34750750E+6,4.09564625E+6,4.10381750E+6,3.28523650E+6,4.42739600E+6,
804.500,1.81663063E+6,3.33064100E+6,4.09691800E+6,4.11431650E+6,3.29971375E+6,1.70929700E+6,
805.00,1.80653425E+6,3.33488900E+6,4.05800675E+6,4.07520200E+6,3.30046700E+6,9.39098750E+5,
805.500,1.79325025E+6,3.31072100E+6,4.06457125E+6,4.07130650E+6,3.30320225E+6,8.46481563E+5,
806.00,1.78998038E+6,3.30030975E+6,4.03852875E+6,4.07026000E+6,3.29579950E+6,8.24516750E+5,
806.500,1.78098288E+6,3.28821075E+6,4.02187300E+6,4.04868875E+6,3.25691825E+6,8.04039250E+5,
