Vmeas,Imeas,Jmeas (mA/cm2),name,substrate,position,batch
0.758,0.00147392,19.141818181818184,A1-3-C,3,C,1
0.771,0.00146049,18.967402597402597,A1-3-C,3,C,1
0.784,0.00144609,18.78038961038961,A1-3-C,3,C,1
0.797,0.00143079,18.58168831168831,A1-3-C,3,C,1
0.81,0.00141396,18.363116883116884,A1-3-C,3,C,1
0.823,0.0013955,18.123376623376625,A1-3-C,3,C,1
0.836,0.00137582,17.867792207792206,A1-3-C,3,C,1
0.849,0.00135458,17.59194805194805,A1-3-C,3,C,1
0.862,0.00133057,17.280129870129873,A1-3-C,3,C,1
0.875,0.0013051,16.94935064935065,A1-3-C,3,C,1
0.888,0.00127681,16.581948051948054,A1-3-C,3,C,1
0.901,0.00124587,16.18012987012987,A1-3-C,3,C,1
0.914,0.0012122,15.742857142857146,A1-3-C,3,C,1
0.927,0.00117527,15.263246753246753,A1-3-C,3,C,1
0.94,0.00113433,14.731558441558441,A1-3-C,3,C,1
0.953,0.00108968,14.15168831168831,A1-3-C,3,C,1
0.966,0.00104093,13.518571428571429,A1-3-C,3,C,1
0.979,0.00099914,12.975844155844156,A1-3-C,3,C,1
0.992,0.00093928,12.198441558441559,A1-3-C,3,C,1
1.005,0.00087581,11.374155844155844,A1-3-C,3,C,1
1.018,0.00080793,10.492597402597402,A1-3-C,3,C,1
1.031,0.00073545,9.551298701298702,A1-3-C,3,C,1
1.044,0.00065814,8.547272727272729,A1-3-C,3,C,1
1.057,0.00057642,7.485974025974026,A1-3-C,3,C,1
1.07,0.00049007,6.364545454545454,A1-3-C,3,C,1
1.083,0.00039949,5.1881818181818184,A1-3-C,3,C,1
1.096,0.00030481,3.9585714285714286,A1-3-C,3,C,1
1.109,0.0002063,2.6792207792207794,A1-3-C,3,C,1
1.122,0.00010394,1.3498701298701299,A1-3-C,3,C,1
1.135,4.35e-06,0.05649350649350649,A1-3-C,3,C,1
1.148,-9.238e-05,-1.1997402597402598,A1-3-C,3,C,1
1.161,-0.00020556,-2.6696103896103898,A1-3-C,3,C,1
1.174,-0.00032471,-4.217012987012987,A1-3-C,3,C,1
1.187,-0.00044602,-5.7924675324675325,A1-3-C,3,C,1
1.2,-0.00056956,-7.396883116883116,A1-3-C,3,C,1
