Vmeas,Imeas,name,substrate,position
0.836,-0.00059108,A1-5,1,5
0.823,-0.00054866,A1-5,1,5
0.81,-0.00051386,A1-5,1,5
0.797,-0.00046855,A1-5,1,5
0.784,-0.00043192,A1-5,1,5
0.771,-0.00039144,A1-5,1,5
0.758,-0.00035743,A1-5,1,5
0.745,-0.00031198,A1-5,1,5
0.732,-0.00027061,A1-5,1,5
0.719,-0.0002319,A1-5,1,5
0.706,-0.00019288,A1-5,1,5
0.693,-0.00015087,A1-5,1,5
0.68,-0.00011331,A1-5,1,5
0.667,-9.073e-05,A1-5,1,5
0.654,-4.764e-05,A1-5,1,5
0.641,-6.455e-05,A1-5,1,5
0.628,-2.103e-05,A1-5,1,5
0.615,2.52e-05,A1-5,1,5
0.602,7.151e-05,A1-5,1,5
0.589,0.00010458,A1-5,1,5
0.576,0.00012931,A1-5,1,5
0.563,0.00017292,A1-5,1,5
0.55,0.00021114,A1-5,1,5
0.537,0.00024957,A1-5,1,5
0.524,0.00028169,A1-5,1,5
0.511,0.00031444,A1-5,1,5
0.498,0.00034745,A1-5,1,5
0.485,0.00038362,A1-5,1,5
0.472,0.00041688,A1-5,1,5
0.459,0.00045089,A1-5,1,5
0.446,0.00048285,A1-5,1,5
0.433,0.00051507,A1-5,1,5
0.42,0.00054543,A1-5,1,5
0.407,0.00057606,A1-5,1,5
0.394,0.00060774,A1-5,1,5
0.381,0.00063898,A1-5,1,5
0.368,0.00066619,A1-5,1,5
0.355,0.00069417,A1-5,1,5
0.342,0.00072322,A1-5,1,5
0.329,0.00075146,A1-5,1,5
0.316,0.00077792,A1-5,1,5
0.303,0.00080611,A1-5,1,5
0.29,0.00083435,A1-5,1,5
0.277,0.00086026,A1-5,1,5
0.264,0.00088745,A1-5,1,5
0.251,0.00091253,A1-5,1,5
0.238,0.00093773,A1-5,1,5
0.225,0.00096347,A1-5,1,5
0.212,0.00098778,A1-5,1,5
0.199,0.00101462,A1-5,1,5
0.186,0.00104569,A1-5,1,5
0.173,0.0010582,A1-5,1,5
0.16,0.00108086,A1-5,1,5
0.147,0.00110486,A1-5,1,5
0.134,0.00112858,A1-5,1,5
0.121,0.00115076,A1-5,1,5
0.108,0.00117266,A1-5,1,5
0.095,0.00119515,A1-5,1,5
0.082,0.00121665,A1-5,1,5
0.069,0.00123855,A1-5,1,5
0.056,0.00125938,A1-5,1,5
0.043,0.00127946,A1-5,1,5
0.03,0.00129907,A1-5,1,5
0.017,0.00131802,A1-5,1,5
0.004,0.00133795,A1-5,1,5
-0.009,0.00135495,A1-5,1,5
-0.022,0.00137217,A1-5,1,5
-0.035,0.00138967,A1-5,1,5
-0.048,0.00140553,A1-5,1,5
-0.061,0.00142164,A1-5,1,5
-0.074,0.00143629,A1-5,1,5
-0.087,0.00145103,A1-5,1,5
-0.1,0.00146469,A1-5,1,5
1.2,-0.000105,A3-1,3,1
1.187,-6.432e-05,A3-1,3,1
1.174,-5.464e-05,A3-1,3,1
1.161,-4.868e-05,A3-1,3,1
1.148,-4.506e-05,A3-1,3,1
1.135,-2.587e-05,A3-1,3,1
1.122,-1.868e-05,A3-1,3,1
1.109,-1.456e-05,A3-1,3,1
1.096,-1.076e-05,A3-1,3,1
1.083,-5.98e-06,A3-1,3,1
1.07,-7e-06,A3-1,3,1
1.057,-7.5e-06,A3-1,3,1
1.044,-2.12e-06,A3-1,3,1
1.031,-1.2e-07,A3-1,3,1
1.018,1.04e-06,A3-1,3,1
1.005,1.88e-06,A3-1,3,1
0.992,2.09e-06,A3-1,3,1
0.979,2.86e-06,A3-1,3,1
0.966,4.63e-06,A3-1,3,1
0.953,4.73e-06,A3-1,3,1
0.94,6.21e-06,A3-1,3,1
0.927,6.68e-06,A3-1,3,1
0.914,5.26e-06,A3-1,3,1
0.901,4.72e-06,A3-1,3,1
0.888,2.075e-05,A3-1,3,1
0.875,2.318e-05,A3-1,3,1
0.862,2.775e-05,A3-1,3,1
0.849,2.471e-05,A3-1,3,1
0.836,0.00010502,A3-1,3,1
0.823,0.00011998,A3-1,3,1
0.81,4.282e-05,A3-1,3,1
0.797,4.892e-05,A3-1,3,1
0.784,1.884e-05,A3-1,3,1
0.771,4.2e-07,A3-1,3,1
0.758,5.2e-07,A3-1,3,1
0.745,4.6e-07,A3-1,3,1
0.732,1.7e-07,A3-1,3,1
0.719,1.5e-07,A3-1,3,1
0.706,6.2e-07,A3-1,3,1
0.693,2e-07,A3-1,3,1
0.68,4.7e-07,A3-1,3,1
0.667,6.9e-07,A3-1,3,1
0.654,7e-07,A3-1,3,1
0.641,1.32e-06,A3-1,3,1
0.628,1.14e-06,A3-1,3,1
0.615,1.49e-06,A3-1,3,1
0.602,3.69e-06,A3-1,3,1
0.589,4.57e-06,A3-1,3,1
0.576,5.9e-06,A3-1,3,1
0.563,9.43e-06,A3-1,3,1
0.55,1.881e-05,A3-1,3,1
0.537,3.516e-05,A3-1,3,1
0.524,2.992e-05,A3-1,3,1
0.511,2.417e-05,A3-1,3,1
0.498,6.608e-05,A3-1,3,1
0.485,9.565e-05,A3-1,3,1
0.472,0.00021642,A3-1,3,1
0.459,0.00066631,A3-1,3,1
0.446,0.00078822,A3-1,3,1
0.433,0.00090561,A3-1,3,1
0.42,0.00094096,A3-1,3,1
0.407,0.00090857,A3-1,3,1
0.394,0.00088893,A3-1,3,1
0.381,0.00086409,A3-1,3,1
0.368,0.00082351,A3-1,3,1
0.355,0.00089751,A3-1,3,1
0.342,0.00095647,A3-1,3,1
0.329,0.00091325,A3-1,3,1
0.316,0.0009912,A3-1,3,1
0.303,0.00107487,A3-1,3,1
0.29,0.00092011,A3-1,3,1
0.277,0.00071729,A3-1,3,1
0.264,0.00118821,A3-1,3,1
0.251,0.00113293,A3-1,3,1
0.238,0.00104891,A3-1,3,1
0.225,0.00120156,A3-1,3,1
0.212,0.00111732,A3-1,3,1
0.199,0.00111034,A3-1,3,1
0.186,0.0011129,A3-1,3,1
0.173,0.00114236,A3-1,3,1
0.16,0.00110508,A3-1,3,1
0.147,0.00116384,A3-1,3,1
0.134,0.00126731,A3-1,3,1
0.121,0.00121776,A3-1,3,1
0.108,0.00119089,A3-1,3,1
0.095,0.00126673,A3-1,3,1
0.082,0.00128267,A3-1,3,1
0.069,0.00133587,A3-1,3,1
0.056,0.00138241,A3-1,3,1
0.043,0.00132338,A3-1,3,1
0.03,0.00132531,A3-1,3,1
0.017,0.00134947,A3-1,3,1
0.004,0.00131407,A3-1,3,1
-0.009,0.00138007,A3-1,3,1
-0.022,0.00134607,A3-1,3,1
-0.035,0.00132762,A3-1,3,1
-0.048,0.00139613,A3-1,3,1
-0.061,0.00138377,A3-1,3,1
-0.074,0.00137338,A3-1,3,1
-0.087,0.00140438,A3-1,3,1
-0.1,0.00140376,A3-1,3,1
1.2,-0.00089265,A3-2,3,2
1.187,-0.00082622,A3-2,3,2
1.174,-0.00075014,A3-2,3,2
1.161,-0.00067178,A3-2,3,2
1.148,-0.00059395,A3-2,3,2
1.135,-0.00051787,A3-2,3,2
1.122,-0.00044388,A3-2,3,2
1.109,-0.00037271,A3-2,3,2
1.096,-0.00030447,A3-2,3,2
1.083,-0.00023952,A3-2,3,2
1.07,-0.00017787,A3-2,3,2
1.057,-0.00011969,A3-2,3,2
1.044,-6.38e-05,A3-2,3,2
1.031,-1.372e-05,A3-2,3,2
1.018,3.367e-05,A3-2,3,2
1.005,7.785e-05,A3-2,3,2
0.992,0.00011555,A3-2,3,2
0.979,0.00015496,A3-2,3,2
0.966,0.00019091,A3-2,3,2
0.953,0.00022389,A3-2,3,2
0.94,0.00025442,A3-2,3,2
0.927,0.00028232,A3-2,3,2
0.914,0.00030968,A3-2,3,2
0.901,0.00033499,A3-2,3,2
0.888,0.00035909,A3-2,3,2
0.875,0.00038202,A3-2,3,2
0.862,0.00040416,A3-2,3,2
0.849,0.00042559,A3-2,3,2
0.836,0.00044644,A3-2,3,2
0.823,0.00046667,A3-2,3,2
0.81,0.00048598,A3-2,3,2
0.797,0.00050529,A3-2,3,2
0.784,0.00052426,A3-2,3,2
0.771,0.00054279,A3-2,3,2
0.758,0.00056091,A3-2,3,2
0.745,0.00057916,A3-2,3,2
0.732,0.0005968,A3-2,3,2
0.719,0.0006144,A3-2,3,2
0.706,0.00063139,A3-2,3,2
0.693,0.0006482,A3-2,3,2
0.68,0.00066508,A3-2,3,2
0.667,0.00068138,A3-2,3,2
0.654,0.00069754,A3-2,3,2
0.641,0.00071341,A3-2,3,2
0.628,0.00072886,A3-2,3,2
0.615,0.00074402,A3-2,3,2
0.602,0.00075894,A3-2,3,2
0.589,0.00077383,A3-2,3,2
0.576,0.00078858,A3-2,3,2
0.563,0.00080265,A3-2,3,2
0.55,0.00081699,A3-2,3,2
0.537,0.00083084,A3-2,3,2
0.524,0.00084439,A3-2,3,2
0.511,0.00085673,A3-2,3,2
0.498,0.00087063,A3-2,3,2
0.485,0.00088391,A3-2,3,2
0.472,0.00089633,A3-2,3,2
0.459,0.00090881,A3-2,3,2
0.446,0.00092083,A3-2,3,2
0.433,0.00093247,A3-2,3,2
0.42,0.00094375,A3-2,3,2
0.407,0.00095438,A3-2,3,2
0.394,0.00096533,A3-2,3,2
0.381,0.00097546,A3-2,3,2
0.368,0.00098553,A3-2,3,2
0.355,0.00099495,A3-2,3,2
0.342,0.00100407,A3-2,3,2
0.329,0.00101282,A3-2,3,2
0.316,0.00102084,A3-2,3,2
0.303,0.00102868,A3-2,3,2
0.29,0.00103589,A3-2,3,2
0.277,0.00104284,A3-2,3,2
0.264,0.00104928,A3-2,3,2
0.251,0.00105657,A3-2,3,2
0.238,0.00105896,A3-2,3,2
0.225,0.00106379,A3-2,3,2
0.212,0.00106875,A3-2,3,2
0.199,0.00107347,A3-2,3,2
0.186,0.00107772,A3-2,3,2
0.173,0.00108138,A3-2,3,2
0.16,0.00108559,A3-2,3,2
0.147,0.00108886,A3-2,3,2
0.134,0.00109247,A3-2,3,2
0.121,0.00109554,A3-2,3,2
0.108,0.00109829,A3-2,3,2
0.095,0.00110117,A3-2,3,2
0.082,0.0011035,A3-2,3,2
0.069,0.00110571,A3-2,3,2
0.056,0.00110787,A3-2,3,2
0.043,0.00111045,A3-2,3,2
0.03,0.00111225,A3-2,3,2
0.017,0.00111407,A3-2,3,2
0.004,0.00111569,A3-2,3,2
-0.009,0.00111763,A3-2,3,2
-0.022,0.00111902,A3-2,3,2
-0.035,0.00112034,A3-2,3,2
-0.048,0.00112224,A3-2,3,2
-0.061,0.00112356,A3-2,3,2
-0.074,0.00112495,A3-2,3,2
-0.087,0.00112639,A3-2,3,2
-0.1,0.00112746,A3-2,3,2
1.2,-0.00125082,A3-3,3,3
1.187,-0.00115705,A3-3,3,3
1.174,-0.00104857,A3-3,3,3
1.161,-0.00093571,A3-3,3,3
1.148,-0.00082653,A3-3,3,3
1.135,-0.00071665,A3-3,3,3
1.122,-0.00060937,A3-3,3,3
1.109,-0.00050666,A3-3,3,3
1.096,-0.00040845,A3-3,3,3
1.083,-0.00031526,A3-3,3,3
1.07,-0.00022753,A3-3,3,3
1.057,-0.00014537,A3-3,3,3
