001		  002		003		 004		  005		  006		  007		  008		  009		 010		  011		011-2		012		013		 014		015		 016		017		 018	
06/12_11:42:48	Time=83.000 sec	06/12_11:45:03	Time=82.000 sec	06/12_11:47:13	Time=82.000 sec	06/12_11:49:17	Time=83.000 sec	06/12_11:51:30	Time=83.000 sec	06/12_11:53:38	Time=82.000 sec	06/12_12:01:16	Time=83.000 sec	06/12_12:04:23	Time=83.000 sec	06/12_12:06:24	Time=83.000 sec	06/12_12:09:11	Time=82.000 sec	06/12_12:12:15	Time=82.000 sec	06/12_12:13:58	Time=82.000 sec	06/12_12:16:20	Time=82.000 sec	06/12_12:18:34	Time=82.000 sec	06/12_12:20:58	Time=82.000 sec	06/12_12:23:34	Time=82.000 sec	06/12_12:25:41	Time=82.000 sec	06/12_12:28:38	Time=83.000 sec	06/12_12:30:46	Time=82.000 sec
																																					
Lambda (nm)	Transmittance (%)	Lambda (nm)	Transmittance (%)	Lambda (nm)	Transmittance (%)	Lambda (nm)	Transmittance (%)	Lambda (nm)	Transmittance (%)	Lambda (nm)	Transmittance (%)	Lambda (nm)	Transmittance (%)	Lambda (nm)	Transmittance (%)	Lambda (nm)	Transmittance (%)	Lambda (nm)	Transmittance (%)	Lambda (nm)	Transmittance (%)	Lambda (nm)	Transmittance (%)	Lambda (nm)	Transmittance (%)	Lambda (nm)	Transmittance (%)	Lambda (nm)	Transmittance (%)	Lambda (nm)	Transmittance (%)	Lambda (nm)	Transmittance (%)	Lambda (nm)	Transmittance (%)	Lambda (nm)	Transmittance (%)
670.000000	2.494609	670.000000	7.019067	670.000000	7.527215	670.000000	7.250637	670.000000	9.541912	670.000000	11.133092	670.000000	12.967605	670.000000	15.291234	670.000000	15.043734	670.000000	43.836671	670.000000	48.486711	670.000000	48.592264	670.000000	25.886088	670.000000	36.414741	670.000000	53.564571	670.000000	51.571353	670.000000	64.192997	670.000000	31.516532	670.000000	9.711476
680.000000	2.779542	680.000000	7.915088	680.000000	8.423168	680.000000	8.139091	680.000000	10.641226	680.000000	12.233513	680.000000	14.500107	680.000000	16.681175	680.000000	16.689592	680.000000	44.577439	680.000000	49.426755	680.000000	49.346238	680.000000	27.558242	680.000000	36.758970	680.000000	54.583050	680.000000	52.143140	680.000000	64.981707	680.000000	31.960935	680.000000	10.624237
690.000000	3.196434	690.000000	9.032218	690.000000	9.292484	690.000000	8.961034	690.000000	11.748866	690.000000	13.336550	690.000000	15.656618	690.000000	18.208128	690.000000	18.005502	690.000000	45.348795	690.000000	50.120741	690.000000	50.169064	690.000000	28.947858	690.000000	37.262374	690.000000	55.211934	690.000000	52.750414	690.000000	65.919450	690.000000	32.460686	690.000000	11.503382
700.000000	3.538618	700.000000	9.663855	700.000000	10.247351	700.000000	9.957643	700.000000	12.708283	700.000000	14.283342	700.000000	16.970981	700.000000	19.276770	700.000000	19.352579	700.000000	45.860881	700.000000	50.563127	700.000000	50.607874	700.000000	30.068212	700.000000	37.368749	700.000000	55.742401	700.000000	53.373153	700.000000	66.641354	700.000000	32.760730	700.000000	12.287477
710.000000	3.792357	710.000000	10.442707	710.000000	11.036317	710.000000	10.705706	710.000000	13.714424	710.000000	15.123273	710.000000	18.024599	710.000000	20.718064	710.000000	20.567767	710.000000	46.707299	710.000000	51.164089	710.000000	51.179859	710.000000	31.484474	710.000000	37.650714	710.000000	56.332505	710.000000	54.043289	710.000000	67.319023	710.000000	33.234138	710.000000	13.196023
720.000000	4.236809	720.000000	11.409681	720.000000	11.729659	720.000000	11.380425	720.000000	14.688304	720.000000	16.184105	720.000000	19.193631	720.000000	21.738779	720.000000	21.734555	720.000000	47.159254	720.000000	51.720584	720.000000	51.726152	720.000000	32.376267	720.000000	38.061680	720.000000	56.967668	720.000000	54.310342	720.000000	67.896834	720.000000	33.573957	720.000000	13.924271
730.000000	4.548058	730.000000	12.130025	730.000000	12.431355	730.000000	12.287622	730.000000	15.535178	730.000000	16.877594	730.000000	20.137334	730.000000	22.868715	730.000000	22.648102	730.000000	47.813172	730.000000	52.264902	730.000000	52.435196	730.000000	33.516571	730.000000	38.172396	730.000000	57.761050	730.000000	55.074938	730.000000	68.458817	730.000000	33.856966	730.000000	14.763422
740.000000	4.840976	740.000000	12.888943	740.000000	13.113536	740.000000	12.977806	740.000000	16.054618	740.000000	17.566741	740.000000	21.117760	740.000000	23.606966	740.000000	23.579065	740.000000	48.322329	740.000000	52.550706	740.000000	52.887721	740.000000	34.409116	740.000000	38.388320	740.000000	57.822057	740.000000	55.279212	740.000000	68.782380	740.000000	34.053583	740.000000	15.391906
750.000000	5.294800	750.000000	13.480877	750.000000	13.790586	750.000000	13.759182	750.000000	16.852901	750.000000	18.677227	750.000000	22.142799	750.000000	24.308044	750.000000	24.331751	750.000000	48.830934	750.000000	53.379749	750.000000	53.063780	750.000000	35.048394	750.000000	38.624513	750.000000	58.287087	750.000000	55.975935	750.000000	69.415698	750.000000	34.334776	750.000000	16.076698
760.000000	5.404649	760.000000	14.285405	760.000000	14.540388	760.000000	14.269892	760.000000	17.331002	760.000000	19.242150	760.000000	22.919471	760.000000	25.181814	760.000000	25.077062	760.000000	49.440727	760.000000	53.835944	760.000000	53.500170	760.000000	35.813055	760.000000	39.122417	760.000000	59.093880	760.000000	56.446105	760.000000	69.481548	760.000000	34.424198	760.000000	16.657143
770.000000	5.950656	770.000000	15.137792	770.000000	15.119703	770.000000	14.906748	770.000000	18.087905	770.000000	20.113551	770.000000	23.577255	770.000000	25.987952	770.000000	25.845309	770.000000	50.340661	770.000000	53.749790	770.000000	53.929980	770.000000	36.421661	770.000000	39.173822	770.000000	59.427188	770.000000	56.891753	770.000000	70.071896	770.000000	34.829029	770.000000	17.778046
780.000000	7.772385	780.000000	17.660595	780.000000	17.707606	780.000000	16.985906	780.000000	20.886153	780.000000	22.781093	780.000000	26.646486	780.000000	28.364028	780.000000	28.922365	780.000000	52.859639	780.000000	55.299679	780.000000	55.183626	780.000000	38.872336	780.000000	40.757138	780.000000	60.838180	780.000000	58.789746	780.000000	70.622574	780.000000	36.166113	780.000000	20.295395
790.000000	14.356839	790.000000	25.620676	790.000000	25.915345	790.000000	25.041579	790.000000	28.875279	790.000000	31.030930	790.000000	35.237327	790.000000	36.177628	790.000000	36.546063	790.000000	58.257270	790.000000	58.353619	790.000000	58.110214	790.000000	45.421638	790.000000	45.165860	790.000000	64.475830	790.000000	63.106872	790.000000	72.733215	790.000000	40.435380	790.000000	28.532212
800.000000	31.083585	800.000000	42.590838	800.000000	41.996000	800.000000	41.560848	800.000000	43.296469	800.000000	47.050601	800.000000	51.313934	800.000000	49.407953	800.000000	50.020143	800.000000	65.845151	800.000000	64.208657	800.000000	64.116043	800.000000	57.002032	800.000000	54.387703	800.000000	69.959584	800.000000	69.482492	800.000000	75.528337	800.000000	48.636877	800.000000	42.990345
810.000000	50.995515	810.000000	60.434544	810.000000	57.658281	810.000000	59.380024	810.000000	57.176231	810.000000	65.498803	810.000000	65.436244	810.000000	60.278739	810.000000	60.827291	810.000000	72.245865	810.000000	69.324203	810.000000	69.231218	810.000000	67.076979	810.000000	63.698118	810.000000	74.963454	810.000000	74.898001	810.000000	78.080080	810.000000	57.681047	810.000000	57.093703
820.000000	64.589058	820.000000	70.515356	820.000000	68.013043	820.000000	69.201820	820.000000	67.704712	820.000000	78.493880	820.000000	71.694454	820.000000	65.772441	820.000000	66.017507	820.000000	76.877192	820.000000	73.014396	820.000000	73.041658	820.000000	72.933045	820.000000	70.455329	820.000000	78.777022	820.000000	78.544654	820.000000	80.544042	820.000000	65.022133	820.000000	65.915829
830.000000	68.035549	830.000000	71.711682	830.000000	70.196973	830.000000	70.527204	830.000000	71.763194	830.000000	81.332820	830.000000	71.959262	830.000000	67.143855	830.000000	67.178108	830.000000	77.704770	830.000000	74.435145	830.000000	74.361987	830.000000	73.990154	830.000000	72.171567	830.000000	79.635920	830.000000	79.401982	830.000000	81.501492	830.000000	66.154200	830.000000	68.423199
840.000000	70.389636	840.000000	71.569894	840.000000	71.658625	840.000000	70.480789	840.000000	76.632141	840.000000	82.681476	840.000000	71.189232	840.000000	68.275525	840.000000	68.416572	840.000000	78.678228	840.000000	75.415462	840.000000	75.480830	840.000000	74.581185	840.000000	73.573089	840.000000	80.063526	840.000000	80.146379	840.000000	82.053267	840.000000	67.678339	840.000000	69.975499
