Vmeas,Imeas,name,substrate,position
0.2453,0.00144503,AD004-1,4,1
0.225,0.0014456,AD004-1,4,1
0.2047,0.00144702,AD004-1,4,1
0.1844,0.00144775,AD004-1,4,1
0.16405,0.00144774,AD004-1,4,1
0.14375,0.0014487,AD004-1,4,1
0.12345,0.0014496,AD004-1,4,1
0.10315,0.00144979,AD004-1,4,1
0.0828,0.0014509,AD004-1,4,1
0.0625,0.00145103,AD004-1,4,1
0.0422,0.00145192,AD004-1,4,1
0.0219,0.00145283,AD004-1,4,1
0.00155,0.00145275,AD004-1,4,1
-0.01875,0.00145316,AD004-1,4,1
-0.03905,0.00145329,AD004-1,4,1
-0.05935,0.00145337,AD004-1,4,1
-0.0797,0.00145446,AD004-1,4,1
-0.1,0.00145511,AD004-1,4,1
1.2,-0.00213731,AD004-2,4,2
1.1797,-0.00183061,AD004-2,4,2
1.15935,-0.00152819,AD004-2,4,2
1.13905,-0.00123513,AD004-2,4,2
1.11875,-0.00094751,AD004-2,4,2
1.09845,-0.000677,AD004-2,4,2
